Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Granite Fracture,1993,subsurface,157.75,0.2,34.73,0.57,,0,9.94,362.3
DELOS Granite Fracture,1993,subsurface,142.36,0.25,34.75,0.41,6.84,0,9.78,359.04
DELOS Granite Fracture,1993,subsurface,142.62,0.25,34.92,0.41,,0,10.3,360.51
DELOS Granite Fracture,1993,subsurface,160.28,0.26,38.82,0.57,,0,10.67,381.82
DELOS Granite Fracture,1993,subsurface,152.13,0.29,34.56,0.42,10,0,9.93,380.89
DELOS Granite Fracture,1993,subsurface,144.69,0.22,36.17,0.44,7.5,0,9.42,360.51
DELOS Granite Fracture,1993,subsurface,145.03,0.22,34.55,0.42,5,0,9.35,350.31
DELOS Granite Fracture,1993,subsurface,120.44,0.25,35.16,0.5,5,0,9.95,348.91
DELOS Granite Fracture,2647,subsurface,35.69,1.09,24.25,0.22,,0,5.66,92.74
DELOS Granite Fracture,2647,subsurface,34.16,0.25,24.04,0.21,13.68,0,3.83,94.81
DELOS Granite Fracture,2647,subsurface,34.22,0.25,24.09,0.21,20,0,3.99,93.02
DELOS Granite Fracture,2647,subsurface,35.3,0,24.18,0.21,10,0,4.09,96.33
DELOS Granite Fracture,2647,subsurface,35.99,0.22,24.82,0.29,15,0,4.06,93.37
DELOS Granite Fracture,2647,subsurface,30.85,0.26,24.52,0.25,19,0,4.24,94.41
DELOS Granite Fracture,2794,subsurface,23.01,1.15,9.05,0.64,,0,3.36,19.51
DELOS Granite Fracture,2794,subsurface,15.32,0.28,8.9,0.38,20.52,0,0.4,22.49
DELOS Granite Fracture,2794,subsurface,15.33,0.35,9.25,0.39,25,0,0.44,22
DELOS Granite Fracture,2794,subsurface,17.77,0.26,10.2,0.44,15,0,0.6,28.07
DELOS Granite Fracture,2794,subsurface,18.78,0.26,11.33,0.46,15,0,0.74,30.19
DELOS Granite Fracture,2794,subsurface,16.76,0.29,11.36,0.47,26,0,0.73,30.83
DELOS Granite Fracture,2848.1,subsurface,10.91,1.1,6.6,0.32,,0,2.95,11.3
DELOS Granite Fracture,2848.1,subsurface,10.16,0.27,6.55,0.36,20.52,0,0.53,11.67
DELOS Granite Fracture,2848.1,subsurface,9.9,0.26,6.52,0.35,20,0,0.64,11.07
DELOS Granite Fracture,2848.1,subsurface,11.06,0.24,6.63,0.35,15,0,0.22,12.61
DELOS Granite Fracture,2848.1,subsurface,10.77,0.24,6.66,0.33,15,0,0.22,11.66
DELOS Granite Fracture,2848.1,subsurface,10.32,0.27,6.71,0.36,14,0,0.17,11.36
DELOS Granite Fracture,2848.2,subsurface,23.93,1.09,15.4,0.39,,0,3.49,56.75
DELOS Granite Fracture,2848.2,subsurface,22.05,0.32,15.52,,13.86,0,1.3,58.93
DELOS Granite Fracture,2848.2,subsurface,23.8,0.25,16.16,0.48,15,0,0.73,62.91
DELOS Granite Fracture,2848.2,subsurface,24.38,0.23,15.87,0.48,10,0,0.83,62.54
DELOS Granite Fracture,2848.2,subsurface,25.67,0.23,16.92,0.49,10,0,0.73,65.07
DELOS Granite Fracture,2848.2,subsurface,21.17,0.26,15.85,0.48,10,0,0.71,61.51
DELOS Granite Fracture,3191,subsurface,27.2,1.18,15.5,0.21,,0,3.11,25.43
DELOS Granite Fracture,3191,subsurface,11.19,0,15.76,0.23,15,0,0.44,26.81
DELOS Granite Fracture,3191,subsurface,12.35,0,15.79,0.18,12.5,0,0.45,29.5
DELOS Granite Fracture,3191,subsurface,11.93,0,15.8,0.2,10,0,0.51,27.36
DELOS Granite Fracture,3191,subsurface,11.06,0,15.6,0.21,19,0,0.47,26.9
DELOS Granite Fracture,3192,subsurface,33.06,1.3,17.97,0.27,,0,3.43,49.85
DELOS Granite Fracture,3192,subsurface,19.29,0,18.12,0.21,15,0,0.78,52.95
DELOS Granite Fracture,3192,subsurface,20.28,0,18.15,0.23,10,0,0.86,56.24
DELOS Granite Fracture,3192,subsurface,19.96,0,18.2,0.23,10,0,0.73,54.08
DELOS Granite Fracture,3192,subsurface,17.57,0,18.04,0.25,18,0,0.84,53.65
DELOS Granite Fracture,3750,subsurface,6.59,0.26,3.06,0.42,10,0,0.21,6.05
DELOS Granite Fracture,3750,subsurface,7.54,0,3.09,0.45,15,0,0.13,7.63
DELOS Granite Fracture,3750,subsurface,7.53,0,2.88,0.42,10,0,0.15,6.95
DELOS Granite Fracture,3750,subsurface,7.5,0,3.05,0.4,10,0,0.18,6.64
DELOS Granite Fracture,3750,subsurface,7.39,0,3.13,0.42,12.5,0,0.22,6.65
DELOS Granite Fracture,3884,subsurface,9.9,0,8.6,0.61,15,0,1.51,13.2
DELOS Granite Fracture,3884,subsurface,,0,,,,0,0.88,
DELOS Granite Fracture,3884,subsurface,10.45,0,8.53,0.61,15,0,0.27,14.12
DELOS Granite Fracture,3884,subsurface,10.71,0,8.6,0.58,10,0,0.28,13.72
DELOS Granite Fracture,3884,subsurface,9.95,0,8.55,0.61,20,0,1.48,14.41
DELOS Granite Fracture,4166,subsurface,6.42,0,7.91,0.27,20,0,0.21,3.54
DELOS Granite Fracture,4166,subsurface,,,,,,0,,
DELOS Granite Fracture,4166,subsurface,7.51,0,7.99,0.28,15,0,0.14,4.65
DELOS Granite Fracture,4166,subsurface,11.85,0.24,7.98,0.24,15,0,0.16,4.17
DELOS Granite Fracture,4166,subsurface,7.11,0,8.09,0.26,23.5,0,0.14,3.73
DELOS Granite Fracture,4348,subsurface,7.5,0,21.08,0.28,15,0,0.86,18.09
DELOS Granite Fracture,4348,subsurface,8.65,0,21.27,0.3,15,0,0.79,21.24
DELOS Granite Fracture,4348,subsurface,8.12,0,21.35,0.43,15,0,0.72,19.01
DELOS Granite Fracture,4348,subsurface,8.5,0,21.26,0.33,15,0,0.68,18.74
DELOS Granite Fracture,4447,subsurface,8.64,0,17.48,0.3,,0,0.8,15.74
DELOS Granite Fracture,4447,subsurface,9.29,0,17.52,0.27,17.5,0,0.83,16.75
DELOS Granite Fracture,4447,subsurface,10.89,0,17.63,0.32,15,0,0.72,15.5
DELOS Granite Fracture,4447,subsurface,8.67,0,17.4,0.36,15,0,0.78,15.7
DELOS Granite Fracture,4506,subsurface,9.96,0.19,14.75,0.24,,0,0.55,16.45
DELOS Granite Fracture,4506,subsurface,10.75,0.3,14.61,0.22,20,0,0.5,16.14
DELOS Granite Fracture,4506,subsurface,9.94,0,14.71,0.21,15,0,0.52,17.61
DELOS Granite Fracture,4506,subsurface,10.5,0,15.07,0.25,15,0,0.6,16.18
DELOS Granite Fracture,4506,subsurface,9.44,0,14.81,0.27,22,0,0.51,16.28
DELOS Granite Fracture,4599,subsurface,9.29,0,11.89,0.26,,0,0.23,13.88
DELOS Granite Fracture,4599,subsurface,9.69,0,11.98,0.31,15,0,0.14,15
DELOS Granite Fracture,4599,subsurface,9.38,0,12.28,0.31,15,0,0.2,13.37
DELOS Granite Fracture,4599,subsurface,9.23,0,11.75,0.31,15,0,0.35,13.73
DELOS Granite Fracture,4652,subsurface,9.81,0,11.49,0.17,,0,0.28,12.01
DELOS Granite Fracture,4652,subsurface,9.28,0.25,11.32,0.2,20,0,0.23,11.14
DELOS Granite Fracture,4652,subsurface,10.33,0,11.4,0.2,15,0,0.14,12.45
DELOS Granite Fracture,4652,subsurface,9.61,0,11.33,0.18,15,0,0.19,12.52
DELOS Granite Fracture,4652,subsurface,9.58,0,11.1,0.18,15,0,0.1,12.04
DELOS Granite Fracture,4752,subsurface,11.22,0,8.82,0.31,,0,0.23,13.2
DELOS Granite Fracture,4752,subsurface,10.71,0.31,8.71,0.36,20,0,0.17,12.88
DELOS Granite Fracture,4752,subsurface,11.66,0,8.91,0.35,15,0,0,13.99
DELOS Granite Fracture,4752,subsurface,11.35,0,9.28,0.39,15,0,0.17,13.13
DELOS Granite Fracture,4752,subsurface,10.86,0,8.62,0.38,22.5,0,0.15,12.84
DELOS Granite Fracture,4846,subsurface,12.3,0.2,9.47,0.28,,0,0.13,14.7
DELOS Granite Fracture,4846,subsurface,12.8,0,9.64,0.35,15,0,0.08,15.33
DELOS Granite Fracture,4846,subsurface,12.82,0,9.66,0.33,15,0,0.15,16.79
DELOS Granite Fracture,4846,subsurface,11.75,0,9.58,0.37,15,0,0.15,16.98
DELOS Granite Fracture,4950,subsurface,8.93,0.19,8,0.74,,0,0.15,6.4
DELOS Granite Fracture,4950,subsurface,9.57,0,8.46,0.95,15,0,0.13,7.01
DELOS Granite Fracture,4950,subsurface,8.6,0,8.18,0.81,15,0,0.13,6.62
DELOS Granite Fracture,4950,subsurface,9.09,0,8.09,0.85,15,0,0.15,6.1
DELOS Granite Fracture,5132,subsurface,10.81,0.19,13.26,0.78,,0,0.49,14.44
DELOS Granite Fracture,5132,subsurface,11.18,0,13.21,0.27,20,0,0.12,15.19
DELOS Granite Fracture,5132,subsurface,11.99,0,13.39,0.33,15,0,0.2,14.32
DELOS Granite Fracture,5132,subsurface,10.24,0,13.28,0.36,15,0,0.14,14.33
DELOS Gneiss Fracture,444,subsurface,21.98,1.55,1.64,5.52,27.5,0,0,19.42
DELOS Gneiss Fracture,699.1,subsurface,,,,,,0,,
DELOS Gneiss Fracture,699.1,subsurface,,,,,,0,,
DELOS Gneiss Fracture,755.1,subsurface,,,,,,0,,
DELOS Gneiss Fracture,755.1,subsurface,,,,,,0,,
DELOS Gneiss Fracture,755.2,subsurface,,,,,,0,,
DELOS Gneiss Fracture,755.2,subsurface,,,,,,0,,
DELOS Gneiss Fracture,1040,subsurface,,,,,,0,,
DELOS Granite Fracture,1203.2,subsurface,,,,,,0,,
DELOS Granite Fracture,1203.2,subsurface,,,,,,0,,
DELOS Granite Fracture,1329,subsurface,,,,,,0,,
DELOS Granite Fracture,1329,subsurface,,,,,,0,,
DELOS Granite Fracture,1333,subsurface,,,,,,0,,
DELOS Granite Fracture,1333,subsurface,,,,,,0,,
DELOS Granite Fracture,1449,subsurface,,,,,,0,,
DELOS Granite Fracture,1449,subsurface,,,,,,0,,
DELOS Granite Fracture,4198,subsurface,,,,,,0,,
DELOS Granite Fracture,4253,subsurface,,,,,,0,,
DELOS Gneiss Fracture,444,subsurface,24.89,1.35,1.52,5.39,,0,0.23,20.43
DELOS Gneiss Fracture,901,subsurface,,,,,,0,,
DELOS Granite Fracture,1993,subsurface,143.45,0.25,35.09,0.4,,0,9.74,362.75
DELOS Granite Fracture,2647,subsurface,36.92,0,24.69,0.23,,0,4.16,96.5
DELOS Granite Fracture,2794,subsurface,19.86,0,11.72,0.44,,0,0.77,32.51
DELOS Granite Fracture,2848.1,subsurface,10.91,0,6.62,0.32,,0,0.29,10.69
DELOS Granite Fracture,2848.2,subsurface,24.9,0,15.9,0.46,,0,0.78,61.24
DELOS Granite Fracture,2945,subsurface,,,,,,0,,
DELOS Granite Fracture,3191,subsurface,20.13,0,18.31,0.28,,0,0.74,52.95
DELOS Granite Fracture,3192,subsurface,13.53,0,16.21,0.17,,0,0.52,33
DELOS Granite Fracture,3750,subsurface,7.51,0,3.09,0.41,,0,0.19,7.25
DELOS Granite Fracture,3884,subsurface,10.67,0,8.51,0.58,,0,0.21,13.66
DELOS Granite Fracture,4166,subsurface,7.06,0,8.14,0.28,,0,0.51,4.1
DELOS Granite Fracture,4192,subsurface,7.08,0,7.88,0.27,,0,0.14,4.12
DELOS Granite Fracture,4240,subsurface,,,,,,0,,
DELOS Granite Fracture,4250,subsurface,7.57,0,14.69,0.21,,0,0.16,10.53
DELOS Granite Fracture,4268.1,subsurface,7.35,0,16.9,0.42,,0,0.17,12.42
DELOS Granite Fracture,4268.2,subsurface,,,,,,0,,
DELOS Granite Fracture,4288,subsurface,,,,,,0,,
DELOS Granite Fracture,4348,subsurface,8.7,0,20.96,0.31,,0,0.7,18.7
DELOS Granite Fracture,4406.1,subsurface,,,,,,0,,
DELOS Granite Fracture,4406.2,subsurface,,,,,,0,,
DELOS Granite Fracture,4447,subsurface,9.51,0,17.02,0.23,,0,0.81,15.12
DELOS Granite Fracture,4506,subsurface,9.67,0,14.57,0.21,,0,0.56,16.3
DELOS Granite Fracture,4589,subsurface,,,,,,0,,
DELOS Granite Fracture,4652,subsurface,10.1,0,11.07,0.15,,0,0.17,12.39
DELOS Granite Fracture,4752,subsurface,11.87,0,8.75,0.36,,0,0.16,12.48
DELOS Granite Fracture,4846,subsurface,12.88,0,9.44,0.29,,0,0.06,14.21
DELOS Granite Fracture,4950,subsurface,9.53,0,8.19,0.81,,0,0.11,6.41
DELOS Granite Fracture,5000,subsurface,,,,,,0,,
DELOS Granite Fracture,5050,subsurface,,,,,,0,,
DELOS Granite Fracture,5132,subsurface,11.22,0,13.46,0.32,,0,0.06,14
DELOS Granite Fracture,1993,subsurface,143.83,0.25,32.73,0.38,,0,10,368.14
DELOS Granite Fracture,1973,subsurface,137.92,0.25,31.47,0.48,,0,8.81,352.79
DELOS Granite Fracture,1798,subsurface,17.66,0,10.69,0.18,,0,1.72,33.13
DELOS Granite Fracture,1494,subsurface,106.37,0.25,29.4,0.31,,0,8.66,276.72
DELOS Gneiss Fracture,363,subsurface,19.29,2.09,1.67,4.79,,0,0.18,8.65
DELOS Gneiss Fracture,340,subsurface,23.35,3.56,1.78,5.28,,0,0.16,21.98
DELOS Granite Fracture,1993,subsurface,133.83,0.24,36.12,0.44,,0,9.91,363.2
DELOS Granite Fracture,1993,subsurface,,,,,,0,,
DELOS Granite Fracture,1993,subsurface,,,,,,0,,
DELOS Granite Fracture,1993,subsurface,,,,,,0,,
DELOS Granite Fracture,1993,subsurface,126.19,0.56,43.33,1.26,,0,3.5,324.26
DELOS Granite Fracture,2647,subsurface,35.82,0.24,24.9,0.21,,0,4.17,95.86
DELOS Granite Fracture,1973,subsurface,140.23,0.24,33.17,0.42,,0,8.87,349.23
DELOS Granite Fracture,1973,subsurface,,,,,,0,,
DELOS Granite Fracture,1973,subsurface,,,,,,0,,
DELOS Gneiss Fracture,901,subsurface,139.16,0,103.11,1.69,,0,14,515.43
DELOS Gneiss Fracture,699.2,subsurface,126.19,0.56,43.33,1.26,,0,3.5,324.26
DELOS Granite Fracture,1993,subsurface,144.18,0.29,34.78,0.44,,0,9.89,318.22
DELOS Granite Fracture,1993,subsurface,153.52,0.27,34.61,0.4,,0,9.92,374.56
DELOS Granite Fracture,1993,subsurface,142.63,0,34.53,0.37,,0,7.94,320.24
DELOS Granite Fracture,1993,subsurface,150.22,0.08,36.25,0.43,,0,,
DELOS Granite Fracture,1993,subsurface,149.21,0.09,36.49,0.54,,0,,
DELOS Granite Fracture,1494,subsurface,111.41,0.08,32.12,0.22,,0,,
DELOS Granite Fracture,1993,subsurface,152.36,0,36.46,0.46,,0,,
DELOS Granite Fracture,1993,subsurface,153.72,0,35.74,0.47,,0,,
DELOS Granite Fracture,1306.3,subsurface,40.46,0,10.8,0.19,,0,,
DELOS Granite Fracture,1306.1,subsurface,21.55,0,3.74,0.15,,0,,
DELOS Gneiss Fracture,216,subsurface,19.21,3.59,1.65,5.02,,0,,
DELOS Granite Fracture,1993,subsurface,156.78,0,36.27,0.48,,0,,
DELOS Granite Fracture,1993,subsurface,,,,,,0,,
DELOS Granite Fracture,1993,subsurface,172.86,0,36.28,0.46,,0,,
DELOS Granite Fracture,1993,subsurface,153.51,0,36.61,0.65,,0,,
DELOS Granite Fracture,1798,subsurface,19.14,0,12.17,0.25,,0,,
DELOS Granite Fracture,1494,subsurface,108.77,0.01,33.37,1.02,,0,,
DELOS Granite Fracture,1306.3,subsurface,35.9,0.01,10.62,0.25,,0,,
DELOS Granite Fracture,1306.2,subsurface,29.38,0.01,7.63,0.17,,0,,
DELOS Granite Fracture,1306.1,subsurface,21.18,0.01,3.81,0.17,,0,,
DELOS Granite Fracture,1303,subsurface,25.64,0.02,5.21,0.17,,0,,
DELOS Granite Fracture,1203.1,subsurface,33.96,0.01,9.44,0.2,,0,,
DELOS Gneiss Fracture,901,subsurface,,,,,,0,,
DELOS Gneiss Fracture,699.2,subsurface,129.69,0.48,43.5,1.23,,0,,
DELOS Gneiss Fracture,444,subsurface,27.49,1.68,2.74,5.94,,0,,
DELOS Gneiss Fracture,440,subsurface,28.5,1.46,3.4,5.78,,0,,
DELOS Granite Fracture,5132,subsurface,,,,,,0,,
DELOS Granite Fracture,4950,subsurface,,,,,,0,,
DELOS Granite Fracture,4752,subsurface,,,,,,0,,
DELOS Granite Fracture,4652,subsurface,,,,,,0,,
DELOS Granite Fracture,4506,subsurface,,,,,,0,,
DELOS Granite Fracture,4448,subsurface,,,,,,0,,
DELOS Granite Fracture,4345,subsurface,,,,,,0,,
DELOS Granite Fracture,4166,subsurface,,,,,,0,,
DELOS Granite Fracture,3884,subsurface,,,,,,0,,
DELOS Granite Fracture,3750,subsurface,,,,,,0,,
DELOS Granite Fracture,3192,subsurface,,,,,,0,,
DELOS Granite Fracture,3191,subsurface,,,,,,0,,
DELOS Granite Fracture,2848.2,subsurface,,,,,,0,,
DELOS Granite Fracture,2848.1,subsurface,,,,,,0,,
DELOS Granite Fracture,2647,subsurface,,,,,,0,,
DELOS Granite Fracture,1993,subsurface,,,,,,0,,
DELOS Granite Fracture,1973,subsurface,,,,,,0,,
DELOS Granite Fracture,1798,subsurface,,,,,,0,,
DELOS Granite Fracture,1494,subsurface,,,,,,0,,
DELOS Granite Fracture,1306.3,subsurface,,,,,,0,,
DELOS Granite Fracture,1306.1,subsurface,,,,,,0,,
DELOS Gneiss Fracture,901,subsurface,,,,,,0,,
DELOS Gneiss Fracture,444,subsurface,,,,,,0,,
DELOS Surface,,surface,2.73,0.26,0,0.55,0,0,0.71,0
DELOS Surface,,surface,0,0.34,0.13,0.38,0,0,0.4,0
DELOS Surface,,surface,2.92,0,0.41,0.47,0,0,1.03,0
DELOS Surface,,surface,23.54,2.17,5.23,3.66,0,0,0.47,28.53
DELOS Surface,,surface,110.73,0,1.46,2.08,0,0,1.38,235.36
DELOS Surface,,surface,98.35,0,2.18,1.67,0,0,1.66,202.28
DELOS Surface,,surface,8.58,0.45,1.56,1.28,0,0,0.15,3.93
DELOS Surface,,surface,9.25,0.41,2.37,1.11,0,0,0.17,7.96
DELOS Surface,,surface,0,0.1,0.72,0.1,,0,,
DELOS Surface,,surface,0,0.11,0.71,0.13,,0,,
DELOS Surface,,surface,0,0.02,1.49,0,,0,,
DELOS Surface,,surface,3.35,0.43,2.83,0.46,,0,,
DELOS Surface,,surface,50.75,5.5,0.96,1.32,,0,,
DELOS Surface,,surface,6.26,0.12,0.87,0.23,,0,,
DELOS Surface,,surface,21.43,6.63,1.25,4.02,,0,,
DELOS Surface,,surface,6.27,0.37,1.04,1,,0,,
DELOS Surface,,surface,5.1,0.11,0.87,0.26,,0,,
DELOS Surface,,surface,3.73,0.11,0.5,0.27,,0,,
DELOS Surface,,surface,2.93,0.1,0.58,0.24,,0,,
DELOS Surface,,surface,2.26,0.29,1.22,0.35,,0,,
DELOS Surface,,surface,4.47,0.11,1.6,0.22,,0,,
DELOS Surface,,surface,3.52,0.09,0.45,0.19,,0,,
DELOS Surface,,surface,5.33,0.12,2.05,0.23,,0,,
DELOS Surface,,surface,4.64,0.12,0.46,0.32,,0,,
DELOS Surface,,surface,4.56,0.17,0.69,0.4,,0,,
DELOS Surface,,surface,7.44,0.21,2.32,0.68,,0,,
DELOS Surface,,surface,9.81,0.23,1.81,0.83,,0,,
DELOS Surface,,surface,5.68,0.16,0.65,0.35,,0,,