###Schneeberger, Raphael, Urs K. Mäder, and H. Niklaus Waber. "Hydrochemical and isotopic (δ2H, δ18O, 3H) characterization of fracture water in crystalline rock (Grimsel, Switzerland)." Procedia Earth and Planetary Science 17 (2017): 738-741.
id,d18O,d2H,location
CAGr_Ai2,-12.72,-90.08,GTS
CAGr_Ai3,-12.71,-89.42,GTS
CAGr_Bi1,-12.53,-88.45,GTS
CAGr_Bi2,-12.67,-89.3,GTS
CAGr_Bi3,-12.65,-89.28,GTS
CAGr_Bi4,-12.68,-89.4,GTS
CAGr_Bi5,-12.64,-89.33,GTS
CAGr_Bi6,-12.65,-89.51,GTS
CAGr_Ci1,-12.6,-88.89,GTS
GrGr_Ei2,-12.93,-91.37,GTS
GrGr_Fi2,-13,-92.04,GTS
GrGr_Fi3,-12.79,-90.66,GTS
GrGr_Gi2,-12.91,-91.56,GTS
GrGr_Gi3,-12.89,-91.35,GTS