full_name,id,site,date_string,date,description,type,geology,categories
GtsSB80001-20210401_S63.cropped.trimmed.joined.fastq.gzjoin,GtsSB80001-20210401,GtsSB80001,20210401,2021-04-01,grimsel,borehole,granite,subsurface
GtsPinkel-20210401_S62.cropped.trimmed.joined.fastq.gzjoin,GtsPinkel-20210401,GtsPinkel,20210401,2021-04-01,grimsel,borehole,granite,subsurface
GtsISCinj2-20210401-500ml_S61.cropped.trimmed.joined.fastq.gzjoin,GtsISCinj2-20210401-500ml,GtsISCinj2,20210401,2021-04-01,grimsel,borehole,granite,subsurface
GtsISCinj2-20210401-3L_S60.cropped.trimmed.joined.fastq.gzjoin,GtsISCinj2-20210401-3L,GtsISCinj2,20210401,2021-04-01,grimsel,borehole,granite,subsurface
BdWst2-initial-20210120_S59.cropped.trimmed.joined.fastq.gzjoin,BdWst2-initial-20210120,BdWst2,20210120,2021-01-20,bedretto,experimental,granite,subsurface
BdWst2-20210120_S56.cropped.trimmed.joined.fastq.gzjoin,BdWst2-20210120,BdWst2,20210120,2021-01-20,bedretto,experimental,granite,subsurface
BdWst2-20211111_S57.cropped.trimmed.joined.fastq.gzjoin,BdWst2-20211111,BdWst2,20211111,2021-11-11,bedretto,experimental,granite,subsurface
BdWst2-20211115_S58.cropped.trimmed.joined.fastq.gzjoin,BdWst2-20211115,BdWst2,20211115,2021-11-15,bedretto,experimental,granite,subsurface
BdWst1-20201221_S53.cropped.trimmed.joined.fastq.gzjoin,BdWst1-20201221,BdWst1,20201221,2020-12-21,bedretto,experimental,granite,subsurface
BdWst1-int2-wellhead-20210730_S54.cropped.trimmed.joined.fastq.gzjoin,BdWst1-int2-wellhead-20210730,BdWst1,20210730,2021-07-30,bedretto,experimental,granite,subsurface
BdWst1-int7-20211111_S55.cropped.trimmed.joined.fastq.gzjoin,BdWst1-int7-20211111,BdWst1,20211111,2021-11-11,bedretto,experimental,granite,subsurface
BdTfrac901-20210505_S51.cropped.trimmed.joined.fastq.gzjoin,BdTfrac901-20210505,BdTfrac901,20210505,2021-05-05,bedretto,fracture,gneiss,subsurface
BdTfrac901-20211130_S52.cropped.trimmed.joined.fastq.gzjoin,BdTfrac901-20211130,BdTfrac901,20211130,2021-11-30,bedretto,fracture,gneiss,subsurface
BdTfrac5132-20201214_S50.cropped.trimmed.joined.fastq.gzjoin,BdTfrac5132-20201214,BdTfrac5132,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac4846-20201214_S49.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4846-20201214,BdTfrac4846,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac4752-20201214_S48.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4752-20201214,BdTfrac4752,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac4652-20201214_S44.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20201214,BdTfrac4652,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac4652-20210203_S45.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20210203,BdTfrac4652,20210203,2021-02-03,bedretto,fracture,granite,subsurface
BdTfrac4652-20210708_S46.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20210708,BdTfrac4652,20210708,2021-07-08,bedretto,fracture,granite,subsurface
BdTfrac4652-20211201_S47.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4652-20211201,BdTfrac4652,20211201,2021-12-01,bedretto,fracture,granite,subsurface
BdTfrac4447-20201214_S43.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4447-20201214,BdTfrac4447,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac444-20201215_S36.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20201215,BdTfrac444,20201215,2020-12-15,bedretto,fracture,gneiss,subsurface
BdTfrac444-20210119_S37.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210119,BdTfrac444,20210119,2021-01-19,bedretto,fracture,gneiss,subsurface
BdTfrac444-20210304_S38.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210304,BdTfrac444,20210304,2021-03-04,bedretto,fracture,gneiss,subsurface
BdTfrac444-20210322_S39.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210322,BdTfrac444,20210322,2021-03-22,bedretto,fracture,gneiss,subsurface
BdTfrac444-20210521_S40.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210521,BdTfrac444,20210521,2021-05-21,bedretto,fracture,gneiss,subsurface
BdTfrac444-20210708_S41.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20210708,BdTfrac444,20210708,2021-07-08,bedretto,fracture,gneiss,subsurface
BdTfrac444-20211130_S42.cropped.trimmed.joined.fastq.gzjoin,BdTfrac444-20211130,BdTfrac444,20211130,2021-11-30,bedretto,fracture,gneiss,subsurface
BdTfrac4348-20201214_S35.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4348-20201214,BdTfrac4348,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac4166-20201214_S33.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4166-20201214,BdTfrac4166,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac4166-20210203_S34.cropped.trimmed.joined.fastq.gzjoin,BdTfrac4166-20210203,BdTfrac4166,20210203,2021-02-03,bedretto,fracture,granite,subsurface
BdTfrac2848B-20201214_S32.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2848B-20201214,BdTfrac2848B,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac2848A-20201214_S28.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2848A-20201214,BdTfrac2848A,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac2848A-20210303_S29.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2848A-20210303,BdTfrac2848A,20210303,2021-03-03,bedretto,fracture,granite,subsurface
BdTfrac2848A-20210708_S30.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2848A-20210708,BdTfrac2848A,20210708,2021-07-08,bedretto,fracture,granite,subsurface
BdTfrac2848A-20211201_S31.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2848A-20211201,BdTfrac2848A,20211201,2021-12-01,bedretto,fracture,granite,subsurface
BdTfrac2794-20201214_S27.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2794-20201214,BdTfrac2794,20201214,2020-12-14,bedretto,fracture,granite,subsurface
BdTfrac2647-20201215_S26.cropped.trimmed.joined.fastq.gzjoin,BdTfrac2647-20201215,BdTfrac2647,20201215,2020-12-15,bedretto,fracture,granite,subsurface
BdTfrac1494-20201103_S17.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20201103,BdTfrac1494,20201103,2020-11-03,bedretto,fracture,granite,subsurface
BdTfrac1494-20201215_S18.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20201215,BdTfrac1494,20201215,2020-12-15,bedretto,fracture,granite,subsurface
BdTfrac1494-20210119_S19.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210119,BdTfrac1494,20210119,2021-01-19,bedretto,fracture,granite,subsurface
BdTfrac1494-20210304_S20.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210304,BdTfrac1494,20210304,2021-03-04,bedretto,fracture,granite,subsurface
BdTfrac1494-20210505_S21.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210505,BdTfrac1494,20210505,2021-05-05,bedretto,fracture,granite,subsurface
BdTfrac1494-20210521_S22.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210521,BdTfrac1494,20210521,2021-05-21,bedretto,fracture,granite,subsurface
BdTfrac1494-20210601_S23.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210601,BdTfrac1494,20210601,2021-06-01,bedretto,fracture,granite,subsurface
BdTfrac1494-20210708_S24.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20210708,BdTfrac1494,20210708,2021-07-08,bedretto,fracture,granite,subsurface
BdTfrac1494-20211130_S25.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1494-20211130,BdTfrac1494,20211130,2021-11-30,bedretto,fracture,granite,subsurface
BdTfrac1306C-20201103_S12.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1306C-20201103,BdTfrac1306C,20201103,2020-11-03,bedretto,fracture,granite,subsurface
BdTfrac1306C-20201215_S13.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1306C-20201215,BdTfrac1306C,20201215,2020-12-15,bedretto,fracture,granite,subsurface
BdTfrac1306C-20210119_S14.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1306C-20210119,BdTfrac1306C,20210119,2021-01-19,bedretto,fracture,granite,subsurface
BdTfrac1306C-20210304_S15.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1306C-20210304,BdTfrac1306C,20210304,2021-03-04,bedretto,fracture,granite,subsurface
BdTfrac1306C-20211115_S16.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1306C-20211115,BdTfrac1306C,20211115,2021-11-15,bedretto,fracture,granite,subsurface
BdTfrac1306B-20201215_S11.cropped.trimmed.joined.fastq.gzjoin,BdTfrac1306B-20201215,BdTfrac1306B,20201215,2020-12-15,bedretto,fracture,granite,subsurface
BdSTicinoRiverBridge-20210821_S10.cropped.trimmed.joined.fastq.gzjoin,BdSTicinoRiverBridge-20210821,BdSTicinoRiverBridge,20210821,2021-08-21,surface,surface,granite,surface
BdSstrAA1-20210821_S9.cropped.trimmed.joined.fastq.gzjoin,BdSstrAA1-20210821,BdSstrAA1,20210821,2021-08-21,surface,surface,granite,surface
BdSLakeAA3-20210821_S8.cropped.trimmed.joined.fastq.gzjoin,BdSLakeAA3-20210821,BdSLakeAA3,20210821,2021-08-21,surface,surface,granite,surface
BdSlakeAA2-20210821-A_S6.cropped.trimmed.joined.fastq.gzjoin,BdSlakeAA2-20210821-A,BdSlakeAA2,20210821,2021-08-21,surface,surface,granite,surface
BdSFKlake3-20210827_S5.cropped.trimmed.joined.fastq.gzjoin,BdSFKlake3-20210827,BdSFKlake3,20210827,2021-08-27,surface,surface,granite,surface
BdSFKlake1-20211011_S4.cropped.trimmed.joined.fastq.gzjoin,BdSFKlake1-20211011,BdSFKlake1,20211011,2021-10-11,surface,surface,granite,surface
BdSFKgm1-20210827_S3.cropped.trimmed.joined.fastq.gzjoin,BdSFKgm1-20210827,BdSFKgm1,20210827,2021-08-27,surface,surface,granite,surface
BdSFKgb2-20210827_S2.cropped.trimmed.joined.fastq.gzjoin,BdSFKgb2-20210827,BdSFKgb2,20210827,2021-08-27,surface,surface,granite,surface
BdSFKbflow-20211011_S1.cropped.trimmed.joined.fastq.gzjoin,BdSFKbflow-20211011,BdSFKbflow,20211011,2021-10-11,surface,surface,granite,surface