X,Y,FR,stFR,Massets_cum_dis,lutz_total_spacing
0,1488.9598,,,,
24.88300328,1501.3448,,,,
49.76600654,1516.8268,,,,
74.64900982,1532.797,,,,
99.53201309,1550.1768,,,,
124.4150164,1568.112,,,,
149.2980196,1584.0768,,,,
174.1810229,1600.6281,,,,
199.0640262,1619.2341,,,,
219.137931,1631.607184,,,,19
223.9470294,1634.5714,,,,
248.8300327,1651.7492,,,,
273.713036,1668.1508,,,,
298.5960393,1685.6688,,,,
303.9655172,1688.836215,,,,16
323.4790425,1700.3471,,,,
340,1708.937094,,,,
348.3620458,1713.2849,,,,
350,1715,,,15.46391753,
360.5172414,1719.879908,,,,49
363,1721.031886,,,,
373.2450491,1725.7855,,,,
381.7241379,1729.719723,,,,51
381.8,1729.754923,,,,55.5
398.1280523,1736.4503,,,,
423.0110556,1750.3194,,,,
431.2068966,1754.514815,,,,60
440,1759.015966,0.044358657,0.00488594,,
444,1761.063548,0.0071446,0.000245654,,
447.8940589,1763.0569,,,,
450,1765,,,2.577319588,
472.7770622,1778.0084,,,,
497.6600654,1794.6147,,,,
522.5430687,1814.4186,,,,
547.426072,1835.0321,,,,
572.3090752,1852.6196,,,,
597.1920785,1870.4165,,,,
622.0750818,1890.0577,,,,
646.9580851,1906.093,,,,
657.4137931,1911.313248,,,,61
671.8410883,1918.5164,,,,
696.7240916,1930.828,,,,
699.1,1931.914599,0.00090022,0.000297805,,
699.2,1931.914599,0.005565495,0.000210428,,
721.6070949,1942.208,,,,
746.4900981,1950.9863,,,,
755.1,1951.632899,0.020499,0.021921724,,
755.2,1951.632899,0.00097059,4.16E-05,,
771.3731014,1952.855,,,,
796.2561047,1939.7582,,,,
798.7931034,1938.026714,,,,59
821.139108,1922.7757,,,,
846.0221112,1934.7119,,,,
848.2758621,1935.818133,,,,59.5
870.9051145,1946.9255,,,,
895.7881178,1962.9263,,,,
901,1965.487857,0.008294318,0.00165634,,
911.8965517,1970.843339,,,,55.5
920.671121,1975.1559,,,,
945.5541243,1981.8673,,,,
970.4371276,1987.7716,,,,
989.6551724,1992.853495,,,,37.5
995.3201308,1994.3515,,,,
1017.931034,1997.201148,,,,38
1020.203134,1997.4875,,,,
1025,1998.092048,,,,30.5
1039.137931,1999.873849,,,,34.5
1040,2005.532825,0.00149027,0.000484693,,
1045.086137,2007.5998,,,,
1069.969141,2025.5682,,,,
1094.852144,2040.2728,,,,
1119.735147,2053.3218,,,,
1138.103448,2063.879715,,,,43.5
1144.61815,2067.6243,,,,
1150,2070,,,3.608247423,
1169.501154,2079.8323,,,,
1194.384157,2090.1129,,,,
1203.1,2093.748188,0.003557155,0.000249121,,
1203.2,2093.748188,0.004,0.00131367,,
1219.26716,2100.6118,,,,
1230,2105.328288,,,,49
1244.150164,2111.5465,,,,69
1250,2113,,,1.030927835,
1251.206897,2113.770586,,,,72.5
1269.033167,2125.1524,,,,
1293.91617,2164.6151,,,,
1303,2177.90714,0.016,0.002973494,,
1306.1,2182.296932,0.039,0.007295769,,
1306.2,2182.296932,0.182,0.067808629,,
1306.3,2182.296932,0.087,0.021863211,,
1318.799173,2201.0255,,,,
1328.965517,2211.071398,,,,78
1329,2211.105472,0.001,5.09E-05,,
1333,2215.058081,,,,
1343.682177,2225.6137,,,,
1350,2230,,,39.69072165,
1368.56518,2261.126,,,,
1378.448276,2268.105769,,,,73.5
1393.448183,2278.6992,,,,
1418.331186,2290.5651,,,,
1443.21419,2306.038,,,,
1449,2309.230159,0.0015,0.000707121,,
1468.097193,2319.7665,,,,
1484.482759,2327.579852,,,,69.5
1492.980196,2331.6318,,,,
1494,2332.036877,0.039147638,0.010231045,,
1517.8632,2341.5156,,,,
1542.746203,2347.3453,,,,
1548.103448,2346.426777,,,,94.5
1567.629206,2343.079,,,,
1592.512209,2349.8249,,,,
1617.395213,2360.8234,,,,
1642.278216,2370.4516,,,,
1667.161219,2381.9516,,,,
1692.044222,2390.6057,,,,
1716.927226,2399.1324,,,,
1741.810229,2407.2153,,,,
1760.172414,2415.592405,,,,142.5
1766.693232,2418.5673,,,,
1791.576236,2431.782,,,,
1798,2435.348282,0.0020275,0.000243952,,
1816.459239,2445.5963,,,,
1841.342242,2461.1234,,,,
1850,2465,,,1.030927835,
1866.225245,2476.7081,,,,
1891.108249,2491.4288,,,,
1901.551724,2498.324187,,,,132
1915.991252,2507.858,,,,
1929.827586,2516.871773,,,,124
1940.874255,2524.0682,,,,
1965.757258,2532.1471,,,,
1973,2533.280359,0.00458,0.000311127,,
1990.640262,2536.0405,,,,
1993,2535.767702,0.025704545,0.002203231,,127.5
2015.523265,2533.1639,,,,
2040.406268,2536.4044,,,,
2065.289272,2542.5656,,,,
2090.172275,2552.8637,,,,
2115.055278,2563.0587,,,,
2139.938281,2573.2445,,,,
2164.821285,2581.9898,,,,
2189.704288,2590.0145,,,,
2214.587291,2598.9524,,,,
2239.470294,2605.1571,,,,
2264.353298,2611.587,,,,
2283.275862,2616.633726,,,,108.5
2289.236301,2618.2234,,,,
2314.119304,2623.1246,,,,
2339.002308,2628.5052,,,,
2363.885311,2637.2344,,,,
2388.768314,2645.8887,,,,
2413.651317,2660.5849,,,,
2438.534321,2673.3889,,,,
2463.417324,2683.3322,,,,
2488.300327,2689.8422,,,,
2513.18333,2696.3806,,,,
2538.066334,2702.8789,,,,
2562.949337,2710.4685,,,,
2587.83234,2717.2903,,,,
2612.715343,2724.3439,,,,
2637.598347,2730.8061,,,,
2647,2733.633623,0.001639271,0.000213383,,
2662.48135,2738.2896,,,,
2687.364353,2745.2887,,,,
2712.247357,2752.7235,,,,
2737.13036,2761.4487,,,,
2762.013363,2771.2592,,,,
2786.896366,2781.9185,,,,
2794,2785.145695,0.047,0.027191665,,
2806.37931,2790.769642,,,,103.5
2811.77937,2793.2229,,,,
2827.586207,2801.424057,,,,100.5
2834.655172,2805.091692,,,,115
2836.662373,2806.1331,,,,
2848.1,2812.335145,2.5,0,,
2848.2,2812.335145,0.123,0.037367544,,111
2850,2813,,,41.2371134,
2861.545376,2819.7449,,,,
2886.428379,2834.1167,,,,
2911.311383,2850.0657,,,,
2936.194386,2866.7471,,,,
2940.689655,2869.760699,,,,103
2945,2872.650325,0.0265,0,,
2947.758621,2877.350466,,,,54.5
2961.077389,2900.043,,,,
2983.103448,2930.072455,,,,63
2985.960393,2933.9675,,,,
3010.843396,2960.1565,,,,
3035.726399,2986.0923,,,,
3060.609402,3014.091,,,,
3085.492406,3040.7535,,,,
3110.375409,3064.804,,,,
3135.258412,3093.2651,,,,
3150,3095,,,1.546391753,
3160.141415,3098.3735,,,,
3185.024419,3071.3812,,,,
3188.103448,3067.506694,,,,83.5
3191,3063.86181,0.0388575,0.023920404,,
3192,3062.603457,0.0386357,0.018821627,,
3202.241379,3049.716187,,,,76.5
3209.907422,3040.0696,,,,
3234.790425,3003.8189,,,,
3250,2985,,,3.092783505,
3259.673429,2978.2778,,,,
3284.556432,2943.4789,,,,
3309.439435,2923.2207,,,,
3334.322438,2906.4867,,,,
3359.205442,2894.0106,,,,
3384.088445,2888.2536,,,,
3393.103448,2884.53065,,,,77
3400.172414,2881.611361,,,,78
3408.971448,2877.9776,,,,
3433.854451,2867.8591,,,,
3450,2860,,,3.608247423,
3458.737455,2858.7314,,,,
3483.620458,2853.9555,,,,
3508.503461,2848.1849,,,,
3520.344828,2844.936817,,,,58
3533.386465,2841.3595,,,,
3550,2836,,,1.030927835,
3558.269468,2834.7625,,,,
3583.152471,2828.027,,,,
3608.035474,2821.737,,,,
3632.918478,2814.6517,,,,
3657.801481,2805.7007,,,,
3682.684484,2794.305,,,,
3707.567487,2782.2444,,,,
3732.450491,2773.0421,,,,
3750,2767.986787,0.943,0,3.608247423,
3757.333494,2765.8743,,,,
3760.689655,2764.932746,,,,58.5
3767.758621,2762.949584,,,,41.5
3781.896552,2758.983259,,,,44
3782.216497,2758.8935,,,,
3803.103448,2755.225882,,,,43.5
3807.099501,2754.5242,,,,
3817.241379,2752.145833,,,,13
3831.982504,2748.6889,,,,
3845.517241,2745.917799,,,,18
3850,2745,,,2.577319588,
3856.865507,2743.3252,,,,
3881.74851,2727.1629,,,,
3884,2724.124054,1.214,0,,
3887.931034,2718.818319,,,,19.5
3887.94,2718.806219,,,,28.5
3895,2709.277306,,,,26.5
3906.631514,2693.5782,,,,
3930.34483,2631.479015,,,,26.5
3931.514517,2628.4159,,,,
3950,2607,,,1.546391753,
3956.39752,2601.712,,,,
3979.827586,2588.208287,,,,22.5
3981.280523,2587.3709,,,,
4006.163527,2576.3188,,,,
4031.04653,2567.9598,,,,
4055.929533,2560.3729,,,,
4080.812536,2555.0295,,,,
4100,2551.037015,,,,25.5
4105.69554,2549.8519,,,,
4114.137931,2548.71374,,,,28.5
4128.275862,2546.807736,,,,10.5
4130.578543,2546.4973,,,,
4150,2543.1,,,2.06185567,
4155.461546,2543.0871,,,,
4156.551724,2542.935269,,,,9
4166,2541.619391,0.0446675,0.069995067,,
4180.34455,2539.6216,,,,
4192,2538.016265,0.0049,0,,9
4198,2537.189869,,,,
4205.227553,2536.1944,,,,
4213.103448,2534.47356,,,,4
4230.110556,2530.7576,,,,
4234.310345,2529.839969,,,,4.5
4234.35,2529.831305,,,,8
4240,2528.596811,0.17462,0,,
4250,2524,0.242,0,18.55670103,
4253,2525.756,0.06,0,,
4254.993559,2523.7902,,,,
4255.517241,2523.273719,,,,8.5
4255.52,2523.270999,,,,10
4268.1,2510.864,0.19125,0,,
4268.2,2510.765,0.003846,0,,
4269.655172,2511.437193,,,,10.5
4276.724138,2514.702588,,,,14
4279.876563,2516.1588,,,,
4288,2519.911,0.02,0,,
4304.759566,2507.0035,,,,
4312.068966,2504.504416,,,,18
4329.642569,2498.496,,,,
4347.413793,2497.203456,,,,19
4348,2497.16082,0.06138,0.001566908,,
4350,2496.9,,,2.06185567,
4354.525572,2496.6862,,,,
4379.408576,2503.7812,,,,
4389.827586,2508.845157,,,,17.5
4404.291579,2515.8751,,,,
4406.1,2516.8,0.0048885,0,,
4406.2,2516.8,0.01227,0,,
4429.174582,2523.9532,,,,
4446.37931,2527.512171,,,,17
4447,2527.640567,0.03757,0.006778975,,
4450,2528,,,1.546391753,
4454.057586,2529.1005,,,,
4478.940589,2535.722,,,,
4481.724138,2536.846964,,,,19.5
4495.862069,2542.560771,,,,13.5
4503.823592,2545.7784,,,,
4506,2547.096717,0.072120833,0.006758336,,
4528.706595,2560.8508,,,,
4531.206897,2562.442229,,,,13.5
4545.344828,2571.440947,,,,12.5
4553.589599,2576.6887,,,,
4566.551724,2571.287876,,,,14
4578.472602,2566.3209,,,,
4580.689655,2565.397138,,,,14
4589,2561.934534,0.0065,0,,
4599,2567.173658,0.020833,0.003754553,,
4603.355605,2567.3546,,,,
4616.034483,2567.964417,,,,19
4628.238608,2568.5514,,,,
4644.310345,2568.808856,,,,18.5
4644.32,2568.809011,,,,16.5
4650,2568.9,,,0.515463918,
4652,2569.566007,0.01475,0.002063734,,
4653.121612,2569.6139,,,,
4678.004615,2572.6727,,,,
4686.724138,2572.94361,,,,17
4702.887618,2573.4458,,,,
4727.770622,2573.1839,,,,
4729.137931,2573.480134,,,,17
4750,2578,,,1.030927835,
4750.344828,2578.146241,,,,16.5
4752,2578.848197,0.018208,0.003905086,,
4752.653625,2579.001,,,,
4771.551724,2584.122997,,,,15.5
4777.536628,2585.7451,,,,
4792.758621,2596.747046,,,,20
4799.827586,2601.856257,,,,18
4802.419631,2603.7297,,,,
4827.302635,2619.8894,,,,
4846,2626.263996,0.0164294,0.017196558,,
4849.310345,2626.873103,,,,17
4850,2627,,,0.515463918,
4852.185638,2628.3729,,,,
4877.068641,2636.9178,,,,
4898.793103,2643.611148,,,,16
4901.951644,2644.5843,,,,
4926.834648,2652.7881,,,,
4934.137931,2655.118999,,,,
4950,2660.181499,0.022768,0.005974958,1.030927835,
4951.717651,2660.7297,,,,
4955.344828,2661.88734,,,,18.5
4955.4,2661.904949,,,,15.5
4962.413793,2664.143453,,,,11.5
4969.482759,2666.399565,,,,9
4976.600654,2668.4178,,,,
4990.689655,2673.591882,,,,9
5000,2677.011038,0.0105,0,,
5001.483658,2677.5559,,,,
5011.896552,2682.275661,,,,10
5026.366661,2688.8344,,,,16
5026.4,2688.84874,,,,13
5050,2699,0.0016,0,1.030927835,
5051.249664,2700.3727,,,,
5061.37931,2708.237454,,,,16
5076.132667,2719.6921,,,,
5101.015671,2736.7324,,,,
5110.862069,2739.208383,,,,16
5125.898674,2742.9895,,,,
5132,2745.344504,0.015985,0.002281967,,
5150,2752.5939,,,3.092783505,
5175,2761.6963,,,,
5200.547684,2764.0698,,,,
5225.430687,2766.9135,,,,